battle_id,battle_type,game_mode,arena_name,is_ladder
11f305fad7318f4a557f1f007ec4951e,PvP,Ladder,Lumberlove Cabin,1
11fa61eb6392d3ba9e4cbd4abdee6cfd,PvP,Ladder,Lumberlove Cabin,1
1204e7970724d46710c24340e9f3d129,tournament,TripleElixir_Tournament,Builder's Workshop,0
12271ed86e8e988c1d7dcd918b938123,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
1229c32d0bf2b5fbd6fcad649f6d6075,PvP,Ladder,Clash Fest,1
1229ff24c0273432941e29800ba9ea55,PvP,Ladder,Lumberlove Cabin,1
1245bbe9ea6cebb4acdf19c788ecc7f4,PvP,Ladder,Lumberlove Cabin,1
124976291a8a4f1e1d81fef415e76b85,tournament,Draft_Competitive,Rascal's Hideout,0
125ec8aa106ee509c9fa88dc70b096d8,PvP,Ladder,Royal Crypt,1
1260d92a7be7a89bc8353d110513d265,tournament,Tournament,Royal Arena,0
128579a773c6061990bb9b19d50370bd,tournament,TripleElixir_Tournament,Boot Camp,0
12accfdd0b4419b4e387d0a9332113e9,PvP,Ladder,Royal Arena,1
12b703e9bd43f6467f23cec1cda1c8a6,riverRacePvP,TripleElixir_Ladder,Lumberlove Cabin,0
12cc467bc8c2483320e7dfad142fa3a3,tournament,TripleElixir_Tournament,Silent Sanctuary,0
12d3668d7ce85f6c95e9f25e1a7c9c96,tournament,Draft_Competitive,Royal Arena,0
12fed7d7938df12ae36387f5a5492bcc,trail,Challenge_AllCards_EventDeck_NoSet,Legendary Arena,0
13006481fd5a6ffbefd88f35a2bd46b5,PvP,Ladder,Lumberlove Cabin,1
1318f946453eb0d96ed64e01e06a0d82,tournament,TripleElixir_Tournament,Jungle Arena,0
13342ecb8a050388c65274375e16d780,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
1340183ceffc2277c7e1f6dd2be791c7,tournament,TripleElixir_Tournament,Dragon Spa,0
13416a020a7cd44905fad493aa21f76b,PvP,Ladder,Legendary Arena,1
13497b9af564f6ee89a73b21d2d813a8,tournament,TripleElixir_Tournament,Spell Valley,0
13586093a998e9ef995b638fc5b9b5c9,tournament,DraftMode,PANCAKES!,0
135f994cc28f5d31a87fcbfb94392baf,tournament,TripleElixir_Tournament,Spooky Town,0
137dafdf16e9c8b5b91f072d1e7e3c46,tournament,Draft_Competitive,Jungle Arena,0
13916dfcfa6c1270e556704c0db01eb0,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
13a80f0fa4de7e7d421da7c2f59fee55,tournament,Draft_Competitive,Builder's Workshop,0
13aec2469c133ad82ef33489c16bf3a7,tournament,DraftModeInsane,Frozen Peak,0
13dca7ed045e6376392ef27984ee45a6,tournament,Tournament,Electro Valley,0
13df7b6c0ff6f7e4a31803a30eaf0914,PvP,Ladder,Lumberlove Cabin,1
13e2d9fa89f12bd98fe7e2cd53a19ca8,PvP,Ladder,Lumberlove Cabin,1
13e4ada26d2c6ed6f92dc26a5fafa086,PvP,Ladder,Spooky Town,1
13e6f1c2125e6d20d59dc185a6992a96,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
13eb67e77ee289ebb64e31b6a5776e21,PvP,Ladder,Clash Fest,1
13eeddeca407d0e90ac2e699ec7bbc5f,PvP,Ladder,Royal Crypt,1
13f3907ca8b170c49a2456e86524c296,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
141366f649ad8889b444999a6abc6426,PvP,Ladder,Royal Crypt,1
146010fe0c0d657519c9d343bed34348,trail,Showdown_Friendly,Legendary Arena,0
1471cfcbbf228b23b79f47b9afa3a4b9,tournament,Draft_Competitive,Spell Valley,0
14774da38d9f3a06bf4b44d135fea409,tournament,TripleElixir_Tournament,Silent Sanctuary,0
147c15249895613ace18baac5d081764,trail,Showdown_Friendly,Legendary Arena,0
1486697d5a1c7eaae2000a0bf613dfc3,tournament,TripleElixir_Tournament,Builder's Workshop,0
148b60b7b46db4cf0f0b779761162dee,riverRacePvP,TripleElixir_Ladder,Lumberlove Cabin,0
1493672a26f2b6e15490b30ef9547642,tournament,DraftMode,Silent Sanctuary,0
14a1d185b0f3cb56af2eaa6b240fd5cf,trail,Showdown_Friendly,Legendary Arena,0
14b1dedea3a46ff30bd4f13e4ec8cd78,clanMate2v2,TeamVsTeam,Dragon Spa,0
14b93c0a807dd090c1b2476d82fe3e6a,tournament,TripleElixir_Tournament,Spell Valley,0
14c49d67ec49cce2d5312bb799225421,PvP,Ladder,Clash Fest,1
14e30223b42a6080cef3eefe992edc1e,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
14e422cad3af5720d6480154d97d61b6,PvP,Ladder,Lumberlove Cabin,1
151b323abbd4cf50f435ecbebfcc8b24,trail,TeamVsTeam,Legendary Arena,0
1553f721fdd0b1208b7de5e04d1dfa4e,tournament,DraftModeInsane,Frozen Peak,0
1556d17b37324b492d99e5b24330c0b8,tournament,DraftMode,Serenity Peak,0
155fe30895fdc6f29700741d2c4aa24d,PvP,Ladder,Hog Mountain,1
15758915ee7efacbe7c8c73460286902,tournament,Draft_Competitive,Boot Camp,0
157d2d161ba62a7ebff0d32d0ed4de3c,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
15a04895137932ec5820e75c438e688c,trail,Showdown_Friendly,Legendary Arena,0
15b3088db63a3d6271cd585afecb7fa4,riverRacePvP,CW_Battle_1v1,Legendary Arena,0
15c4dbb84e0f7d6cd7ed6322f7639beb,trail,Showdown_Friendly,Legendary Arena,0
15f5de0c013922f4a53d5e0d5541720d,riverRacePvP,TripleElixir_Ladder,Lumberlove Cabin,0
