snapshot_id,deck_id,games_played,games_won,win_rate,pick_rate
1,2355,2,1,50.00,0.12
1,2356,1,1,100.00,0.06
1,2371,4,2,50.00,0.24
1,2372,1,1,100.00,0.06
1,2373,1,0,0.00,0.06
1,2374,1,0,0.00,0.06
1,2375,1,1,100.00,0.06
1,2376,6,3,50.00,0.36
1,2377,1,1,100.00,0.06
1,2378,1,0,0.00,0.06
1,2379,1,1,100.00,0.06
1,2380,1,0,0.00,0.06
1,2381,11,7,63.64,0.67
1,2382,1,1,100.00,0.06
1,2383,1,0,0.00,0.06
1,2384,1,0,0.00,0.06
1,2385,1,0,0.00,0.06
1,2386,1,1,100.00,0.06
1,2387,1,0,0.00,0.06
1,2388,1,1,100.00,0.06
1,2389,1,0,0.00,0.06
1,2390,1,0,0.00,0.06
1,2391,1,0,0.00,0.06
1,2392,1,1,100.00,0.06
1,2454,1,0,0.00,0.06
1,2455,1,1,100.00,0.06
1,2461,2,1,50.00,0.12
1,2462,1,1,100.00,0.06
1,2463,1,0,0.00,0.06
1,2524,1,0,0.00,0.06
1,2525,1,0,0.00,0.06
1,2526,1,1,100.00,0.06
1,2527,1,0,0.00,0.06
1,2540,8,6,75.00,0.48
1,2545,1,1,100.00,0.06
1,2546,1,1,100.00,0.06
1,2547,1,0,0.00,0.06
1,2548,1,0,0.00,0.06
1,2549,1,0,0.00,0.06
1,2550,1,0,0.00,0.06
1,2570,1,0,0.00,0.06
1,2585,1,0,0.00,0.06
1,2586,1,1,100.00,0.06
1,2587,1,1,100.00,0.06
1,2588,1,0,0.00,0.06
1,2589,1,0,0.00,0.06
1,2590,1,1,100.00,0.06
1,2591,1,0,0.00,0.06
1,2592,1,0,0.00,0.06
1,2593,1,0,0.00,0.06
1,2594,1,1,100.00,0.06
1,2595,1,0,0.00,0.06
1,2596,1,1,100.00,0.06
1,2597,1,1,100.00,0.06
1,2621,1,1,100.00,0.06
1,2622,1,0,0.00,0.06
1,2623,1,0,0.00,0.06
1,2624,1,1,100.00,0.06
